recording,mps_folder,quality,pos_std_mm,yaw_std,valid
ofire0_1,mps_ofire0_1_vrs,0.997,0.48,0.198,True
ofire0_2,mps_ofire0_2_vrs,0.996,0.32,0.153,True
ofire0_3,mps_ofire0_3_vrs,0.996,0.38,0.195,True
ofire45_1,mps_ofire45_1_vrs,0.996,0.35,0.133,True
ofire45_2,mps_ofire45_2_vrs,0.996,0.33,0.087,True
ofire45_3,mps_ofire45_3_vrs,0.996,0.35,0.093,True
ofire-45_1,mps_ofire-45_1_vrs,0.997,0.22,0.159,True
ofire-45_2,mps_ofire-45_2_vrs,0.996,0.33,0.097,True
ofire-45_3,mps_ofire-45_3_vrs,0.996,0.29,0.097,True
ofire90_1,mps_ofire90_1_vrs,0.996,0.39,0.103,True
ofire90_2,mps_ofire90_2_vrs,0.995,0.6,0.587,True
ofire90_3,mps_ofire90_3_vrs,0.995,0.55,0.101,True
ofire-90_1,mps_ofire-90_1_vrs,0.996,0.35,0.099,True
ofire-90_2,mps_ofire-90_2_vrs,0.995,0.34,0.144,True
ofire-90_3,mps_ofire-90_3_vrs,0.995,0.26,0.062,True
ophon0_1,mps_ophon0_1_vrs,0.998,0.48,0.186,True
ophon0_2,mps_ophon0_2_vrs,0.996,0.26,0.199,True
ophon0_3,mps_ophon0_3_vrs,0.995,0.32,0.101,True
ophon45_1,mps_ophon45_1_vrs,0.996,0.35,0.164,True
ophon45_2,mps_ophon45_2_vrs,0.996,0.28,0.125,True
ophon45_3,mps_ophon45_3_vrs,0.997,0.27,0.136,True
ophon-45_1,mps_ophon-45_1_vrs,0.997,0.36,0.127,True
ophon-45_2,mps_ophon-45_2_vrs,0.998,0.74,0.157,True
ophon-45_3,mps_ophon-45_3_vrs,0.996,0.34,0.112,True
ophon90_1,mps_ophon90_1_vrs,0.997,0.38,0.079,True
ophon90_3,mps_ophon90_3_vrs,0.995,0.33,0.07,True
ophon-90_1,mps_ophon-90_1_vrs,0.996,0.39,0.126,True
ophon-90_2,mps_ophon-90_2_vrs,0.992,0.4,0.15,True
ophon-90_3,mps_ophon-90_3_vrs,0.997,0.37,0.095,True
kfire0_1,mps_kfire0_1_vrs,0.995,0.36,0.069,True
kfire0_2,mps_kfire0_2_vrs,0.994,0.43,0.084,True
kfire0_3,mps_kfire0_3_vrs,0.996,0.63,0.161,True
kfire45_1,mps_kfire45_1_vrs,0.997,0.3,0.089,True
kfire45_2,mps_kfire45_2_vrs,0.995,0.54,0.076,True
kfire45_3,mps_kfire45_3_vrs,0.993,0.39,0.076,True
kfire-45_1,mps_kfire-45_1_vrs,0.997,0.41,0.193,True
kfire-45_2,mps_kfire-45_2_vrs,0.996,0.44,0.156,True
kfire-45_3,mps_kfire-45_3_vrs,0.996,0.39,0.074,True
kfire90_1,mps_kfire90_1_vrs,0.997,0.46,0.119,True
kfire90_2,mps_kfire90_2_vrs,0.994,0.21,0.062,True
kfire90_3,mps_kfire90_3_vrs,0.996,0.31,0.217,True
kfire-90_1,mps_kfire-90_1_vrs,0.995,0.31,0.128,True
kfire-90_2,mps_kfire-90_2_vrs,0.995,0.51,0.129,True
kfire-90_3,mps_kfire-90_3_vrs,0.996,0.35,0.084,True
kphon0_1,mps_kphon0_1_vrs,0.996,0.57,0.141,True
kphon0_2,mps_kphon0_2_vrs,0.996,0.6,0.236,True
kphon0_3,mps_kphon0_3_vrs,0.998,0.68,0.17,True
kphon45_1,mps_kphon45_1_vrs,0.996,0.25,0.196,True
kphon45_2,mps_kphon45_2_vrs,0.995,0.77,0.134,True
kphon45_3,mps_kphon45_3_vrs,0.995,0.35,0.119,True
kphon-45_1,mps_kphon-45_1_vrs,0.996,0.42,0.103,True
