file,ambience,true_angle,est_angle,ang_error,within_15,sound,trial
ccar_-45_1.vrs,traffic,-45,-17.6,27.4,False,car_horn,1
ccar_-45_2.vrs,traffic,-45,-32.5,12.5,True,car_horn,2
ccar_-45_3.vrs,traffic,-45,28.7,73.7,False,car_horn,3
ccar_-90_1.vrs,traffic,-90,20.9,110.9,False,car_horn,1
ccar_-90_2.vrs,traffic,-90,-17.4,72.6,False,car_horn,2
ccar_-90_3.vrs,traffic,-90,3.8,93.8,False,car_horn,3
ccar_0_1.vrs,traffic,0,-20.9,20.9,False,car_horn,1
ccar_0_2.vrs,traffic,0,3.8,3.8,True,car_horn,2
ccar_0_3.vrs,traffic,0,-17.4,17.4,False,car_horn,3
ccar_45_1.vrs,traffic,45,-3.5,48.5,False,car_horn,1
ccar_45_2.vrs,traffic,45,-3.5,48.5,False,car_horn,2
ccar_45_3.vrs,traffic,45,-3.5,48.5,False,car_horn,3
ccar_90_1.vrs,traffic,90,-3.5,93.5,False,car_horn,1
ccar_90_2.vrs,traffic,90,-3.5,93.5,False,car_horn,2
ccar_90_3.vrs,traffic,90,28.4,61.6,False,car_horn,3
kbaby-45_1.vrs,kitchen,-45,-3.5,41.5,False,crying_baby,1
kbaby-45_2.vrs,kitchen,-45,-3.5,41.5,False,crying_baby,2
kbaby-45_3.vrs,kitchen,-45,-35.1,9.9,True,crying_baby,3
kbaby-90_1.vrs,kitchen,-90,-3.5,86.5,False,crying_baby,1
kbaby-90_2.vrs,kitchen,-90,-10.5,79.5,False,crying_baby,2
kbaby-90_3.vrs,kitchen,-90,-6.9,83.1,False,crying_baby,3
kbaby0_1.vrs,kitchen,0,-3.5,3.5,True,crying_baby,1
kbaby0_2.vrs,kitchen,0,-3.5,3.5,True,crying_baby,2
kbaby0_3.vrs,kitchen,0,6.8,6.8,True,crying_baby,3
kbaby45_1.vrs,kitchen,45,-3.5,48.5,False,crying_baby,1
kbaby45_2.vrs,kitchen,45,-35.1,80.1,False,crying_baby,2
kbaby45_3.vrs,kitchen,45,-35.1,80.1,False,crying_baby,3
kbaby90_1.vrs,kitchen,90,-35.1,125.1,False,crying_baby,1
kbaby90_2.vrs,kitchen,90,31.7,58.3,False,crying_baby,2
kbaby90_3.vrs,kitchen,90,-35.1,125.1,False,crying_baby,3
kfire-45_1.vrs,kitchen,-45,-3.5,41.5,False,fire_alarm,1
kfire-45_2.vrs,kitchen,-45,13.9,58.9,False,fire_alarm,2
kfire-45_3.vrs,kitchen,-45,31.7,76.7,False,fire_alarm,3
kfire-90_1.vrs,kitchen,-90,6.8,96.8,False,fire_alarm,1
kfire-90_2.vrs,kitchen,-90,21.7,111.7,False,fire_alarm,2
kfire-90_3.vrs,kitchen,-90,6.8,96.8,False,fire_alarm,3
kfire0_1.vrs,kitchen,0,-3.5,3.5,True,fire_alarm,1
kfire0_2.vrs,kitchen,0,0.0,0.0,True,fire_alarm,2
kfire0_3.vrs,kitchen,0,-3.5,3.5,True,fire_alarm,3
kfire45_1.vrs,kitchen,45,-3.5,48.5,False,fire_alarm,1
kfire45_2.vrs,kitchen,45,-29.7,74.7,False,fire_alarm,2
kfire45_3.vrs,kitchen,45,6.8,38.2,False,fire_alarm,3
kfire90_1.vrs,kitchen,90,-3.5,93.5,False,fire_alarm,1
kfire90_2.vrs,kitchen,90,-25.2,115.2,False,fire_alarm,2
kfire90_3.vrs,kitchen,90,-6.8,96.8,False,fire_alarm,3
kphon-45_1.vrs,kitchen,-45,-3.5,41.5,False,phone_ring,1
kphon-45_2.vrs,kitchen,-45,-17.4,27.6,False,phone_ring,2
kphon-45_3.vrs,kitchen,-45,-17.4,27.6,False,phone_ring,3
kphon-90_1.vrs,kitchen,-90,-17.4,72.6,False,phone_ring,1
kphon-90_2.vrs,kitchen,-90,-3.5,86.5,False,phone_ring,2
kphon-90_3.vrs,kitchen,-90,-17.4,72.6,False,phone_ring,3
kphon0_1.vrs,kitchen,0,-3.5,3.5,True,phone_ring,1
kphon0_2.vrs,kitchen,0,-3.5,3.5,True,phone_ring,2
kphon0_3.vrs,kitchen,0,-3.5,3.5,True,phone_ring,3
kphon45_1.vrs,kitchen,45,-17.4,62.4,False,phone_ring,1
kphon45_2.vrs,kitchen,45,-17.4,62.4,False,phone_ring,2
kphon45_3.vrs,kitchen,45,-17.4,62.4,False,phone_ring,3
kphon90_1.vrs,kitchen,90,-17.4,107.4,False,phone_ring,1
kphon90_2.vrs,kitchen,90,-17.4,107.4,False,phone_ring,2
kphon90_3.vrs,kitchen,90,-17.4,107.4,False,phone_ring,3
ofire-45_1.vrs,office,-45,-7.0,38.0,False,fire_alarm,1
ofire-45_2.vrs,office,-45,6.8,51.8,False,fire_alarm,2
ofire-45_3.vrs,office,-45,-3.5,41.5,False,fire_alarm,3
ofire-90_1.vrs,office,-90,-3.5,86.5,False,fire_alarm,1
ofire-90_2.vrs,office,-90,6.8,96.8,False,fire_alarm,2
ofire-90_3.vrs,office,-90,-3.5,86.5,False,fire_alarm,3
ofire0_1.vrs,office,0,-3.5,3.5,True,fire_alarm,1
ofire0_2.vrs,office,0,-3.5,3.5,True,fire_alarm,2
ofire0_3.vrs,office,0,-3.5,3.5,True,fire_alarm,3
ofire45_1.vrs,office,45,-3.5,48.5,False,fire_alarm,1
ofire45_2.vrs,office,45,-3.5,48.5,False,fire_alarm,2
ofire45_3.vrs,office,45,-3.5,48.5,False,fire_alarm,3
ofire90_1.vrs,office,90,-3.5,93.5,False,fire_alarm,1
ofire90_2.vrs,office,90,6.8,83.2,False,fire_alarm,2
ofire90_3.vrs,office,90,-3.5,93.5,False,fire_alarm,3
ophon-45_1.vrs,office,-45,-3.5,41.5,False,phone_ring,1
ophon-45_2.vrs,office,-45,-3.5,41.5,False,phone_ring,2
ophon-45_3.vrs,office,-45,-17.4,27.6,False,phone_ring,3
ophon-90_1.vrs,office,-90,-3.5,86.5,False,phone_ring,1
ophon-90_2.vrs,office,-90,-3.5,86.5,False,phone_ring,2
ophon-90_3.vrs,office,-90,-3.5,86.5,False,phone_ring,3
ophon0_1.vrs,office,0,-3.5,3.5,True,phone_ring,1
ophon0_2.vrs,office,0,-17.4,17.4,False,phone_ring,2
ophon0_3.vrs,office,0,-17.4,17.4,False,phone_ring,3
ophon45_1.vrs,office,45,-3.5,48.5,False,phone_ring,1
ophon45_2.vrs,office,45,-17.4,62.4,False,phone_ring,2
ophon45_3.vrs,office,45,-3.5,48.5,False,phone_ring,3
ophon90_1.vrs,office,90,-3.5,93.5,False,phone_ring,1
ophon90_2.vrs,office,90,-3.5,93.5,False,phone_ring,2
ophon90_3.vrs,office,90,-17.4,107.4,False,phone_ring,3
