file,ambience,true_angle,est_angle,ang_error,within_15,sound,trial
studio_fire-45_1.vrs,studio,-45,-3.5,41.5,False,fire_alarm,1
studio_fire-45_2.vrs,studio,-45,6.8,51.8,False,fire_alarm,2
studio_fire-45_3.vrs,studio,-45,-3.5,41.5,False,fire_alarm,3
studio_fire-90_1.vrs,studio,-90,-3.5,86.5,False,fire_alarm,1
studio_fire-90_2.vrs,studio,-90,6.8,96.8,False,fire_alarm,2
studio_fire-90_3.vrs,studio,-90,17.6,107.6,False,fire_alarm,3
studio_fire0_1.vrs,studio,0,-3.5,3.5,True,fire_alarm,1
studio_fire0_2.vrs,studio,0,-13.8,13.8,True,fire_alarm,2
studio_fire0_3.vrs,studio,0,-3.5,3.5,True,fire_alarm,3
studio_fire45_1.vrs,studio,45,-3.5,48.5,False,fire_alarm,1
studio_fire45_2.vrs,studio,45,-3.5,48.5,False,fire_alarm,2
studio_fire45_3.vrs,studio,45,-10.3,55.3,False,fire_alarm,3
studio_fire90_1.vrs,studio,90,-3.5,93.5,False,fire_alarm,1
studio_fire90_2.vrs,studio,90,-3.5,93.5,False,fire_alarm,2
studio_fire90_3.vrs,studio,90,13.9,76.1,False,fire_alarm,3
studio_phone-45_1.vrs,studio,-45,-17.4,27.6,False,phone_ring,1
studio_phone-45_2.vrs,studio,-45,-3.5,41.5,False,phone_ring,2
studio_phone-45_3.vrs,studio,-45,-17.4,27.6,False,phone_ring,3
studio_phone-90_1.vrs,studio,-90,-3.5,86.5,False,phone_ring,1
studio_phone-90_2.vrs,studio,-90,-17.4,72.6,False,phone_ring,2
studio_phone-90_3.vrs,studio,-90,-17.4,72.6,False,phone_ring,3
studio_phone0_1.vrs,studio,0,-3.5,3.5,True,phone_ring,1
studio_phone0_2.vrs,studio,0,-3.5,3.5,True,phone_ring,2
studio_phone0_3.vrs,studio,0,-17.4,17.4,False,phone_ring,3
studio_phone45_1.vrs,studio,45,-3.5,48.5,False,phone_ring,1
studio_phone45_2.vrs,studio,45,-17.4,62.4,False,phone_ring,2
studio_phone45_3.vrs,studio,45,-3.5,48.5,False,phone_ring,3
studio_phone90_1.vrs,studio,90,-17.4,107.4,False,phone_ring,1
studio_phone90_2.vrs,studio,90,-3.5,93.5,False,phone_ring,2
studio_phone90_3.vrs,studio,90,-17.4,107.4,False,phone_ring,3
